product_id,name,category,brand,price,description,rating,review_count,image_url
1,Google Nord Fold 2025,Mobiles,Google,118899,Experience premium quality with Google's Google Nord Fold 2025. Top rated by users. Specs: 256GB Storage | 8GB RAM | 50MP Camera | 5000mAh Battery.,3.2,1624,https://images.unsplash.com/photo-ZHrVk_KPiJU?auto=format&fit=crop&w=300&q=80
2,Samsung Redmi Note Max 2025,Mobiles,Samsung,81099,High performance Mobiles designed for enthusiasts. Max features included.,4.8,1783,https://images.unsplash.com/photo-uFyioIkaep8?auto=format&fit=crop&w=300&q=80
3,Realme Nord Flip,Mobiles,Realme,35199,High performance Mobiles designed for enthusiasts. Flip features included.,4.5,1966,https://images.unsplash.com/photo-uFyioIkaep8?auto=format&fit=crop&w=300&q=80
4,Google GT Fold 2025,Mobiles,Google,102199,"Stylish and durable, the Google GT Fold 2025 is a must-have. Comes with 256GB Storage | 12GB RAM | 50MP Camera | 5000mAh Battery.",3.2,1976,https://images.unsplash.com/photo-Rv2kTIuya_I?auto=format&fit=crop&w=300&q=80
5,Google Pixel 8 5G,Mobiles,Google,79399,Experience premium quality with Google's Google Pixel 8 5G. Top rated by users. Specs: 256GB Storage | 8GB RAM | 50MP Camera | 5000mAh Battery.,3.3,1901,https://images.unsplash.com/photo-Rv2kTIuya_I?auto=format&fit=crop&w=300&q=80
6,Apple Redmi Note 5G 2025,Mobiles,Apple,140799,High performance Mobiles designed for enthusiasts. 5G features included.,4.4,271,https://images.unsplash.com/photo-uFyioIkaep8?auto=format&fit=crop&w=300&q=80
7,Samsung Nord 5G 2024,Mobiles,Samsung,146999,High performance Mobiles designed for enthusiasts. 5G features included.,3.0,1215,https://images.unsplash.com/photo-ZHrVk_KPiJU?auto=format&fit=crop&w=300&q=80
8,Apple GT Fold,Mobiles,Apple,17499,The new Apple GT Fold from Apple is a game changer. Features: 512GB Storage | 8GB RAM | 50MP Camera | 5000mAh Battery.,3.0,1513,https://images.unsplash.com/photo-Rv2kTIuya_I?auto=format&fit=crop&w=300&q=80
9,Apple Nord 5G 2025,Mobiles,Apple,13999,Experience premium quality with Apple's Apple Nord 5G 2025. Top rated by users. Specs: 256GB Storage | 8GB RAM | 50MP Camera | 5000mAh Battery.,4.5,753,https://images.unsplash.com/photo-Rv2kTIuya_I?auto=format&fit=crop&w=300&q=80
10,Realme Nord Lite 2025,Mobiles,Realme,84599,"Stylish and durable, the Realme Nord Lite 2025 is a must-have. Comes with 128GB Storage | 12GB RAM | 50MP Camera | 5000mAh Battery.",3.8,20,https://images.unsplash.com/photo-Rv2kTIuya_I?auto=format&fit=crop&w=300&q=80
11,OnePlus Nord Lite,Mobiles,OnePlus,133899,The new OnePlus Nord Lite from OnePlus is a game changer. Features: 512GB Storage | 12GB RAM | 50MP Camera | 5000mAh Battery.,4.0,489,https://images.unsplash.com/photo-Rv2kTIuya_I?auto=format&fit=crop&w=300&q=80
12,Apple Redmi Note Flip 2025,Mobiles,Apple,40199,"Stylish and durable, the Apple Redmi Note Flip 2025 is a must-have. Comes with 128GB Storage | 12GB RAM | 50MP Camera | 5000mAh Battery.",4.6,467,https://images.unsplash.com/photo-uFyioIkaep8?auto=format&fit=crop&w=300&q=80
13,Samsung Redmi Note Ultra 2025,Mobiles,Samsung,145399,Experience premium quality with Samsung's Samsung Redmi Note Ultra 2025. Top rated by users. Specs: 512GB Storage | 8GB RAM | 50MP Camera | 5000mAh Battery.,4.9,1092,https://images.unsplash.com/photo-ZHrVk_KPiJU?auto=format&fit=crop&w=300&q=80
14,Google iPhone 15 Pro,Mobiles,Google,126899,High performance Mobiles designed for enthusiasts. Pro features included.,4.0,1746,https://images.unsplash.com/photo-Rv2kTIuya_I?auto=format&fit=crop&w=300&q=80
15,Google iPhone 15 Pro,Mobiles,Google,40499,High performance Mobiles designed for enthusiasts. Pro features included.,3.2,1610,https://images.unsplash.com/photo-Rv2kTIuya_I?auto=format&fit=crop&w=300&q=80
16,Samsung Galaxy S24 Ultra,Mobiles,Samsung,105899,Get the best value with Samsung Galaxy S24 Ultra. Perfect for everyday use. Includes 512GB Storage | 8GB RAM | 50MP Camera | 5000mAh Battery.,4.9,1901,https://images.unsplash.com/photo-ZHrVk_KPiJU?auto=format&fit=crop&w=300&q=80
17,Samsung GT Max 2024,Mobiles,Samsung,96499,The new Samsung GT Max 2024 from Samsung is a game changer. Features: 256GB Storage | 12GB RAM | 50MP Camera | 5000mAh Battery.,3.4,1925,https://images.unsplash.com/photo-uFyioIkaep8?auto=format&fit=crop&w=300&q=80
18,OnePlus Nord Fold 2024,Mobiles,OnePlus,53099,The new OnePlus Nord Fold 2024 from OnePlus is a game changer. Features: 512GB Storage | 8GB RAM | 50MP Camera | 5000mAh Battery.,3.6,218,https://images.unsplash.com/photo-uFyioIkaep8?auto=format&fit=crop&w=300&q=80
19,Apple Nord Fold 2025,Mobiles,Apple,131599,Get the best value with Apple Nord Fold 2025. Perfect for everyday use. Includes 256GB Storage | 8GB RAM | 50MP Camera | 5000mAh Battery.,5.0,974,https://images.unsplash.com/photo-uFyioIkaep8?auto=format&fit=crop&w=300&q=80
